Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
336,Vanderbilt,16,5,11,.313,-1.10,2.46,,0,3,,5,5,,0,3,,1090,1147,,68.3,99.8,.344,.420,.503,50.0,43.3,9.4,8.3,.462,14.0,27.4,.246
337,Vermont,18,13,5,.722,1.38,-2.19,,3,0,,8,1,,3,3,,1316,1159,,64.6,113.2,.256,.456,.578,50.5,52.4,7.6,8.4,.560,12.5,23.4,.178
338,Villanova,17,11,6,.647,15.35,7.47,,4,2,,6,2,,2,3,,1262,1128,,65.7,110.5,.319,.483,.550,52.7,48.8,8.3,6.2,.503,13.0,29.7,.261
339,Virginia,16,11,5,.688,9.59,2.47,,2,3,,9,0,,0,4,,1039,925,,62.2,104.3,.282,.329,.524,48.0,63.6,13.7,15.7,.501,11.7,25.4,.185
340,Virginia Commonwealth,17,10,7,.588,7.73,2.20,,2,2,,7,5,,2,0,,1244,1150,,67.0,108.4,.365,.434,.569,52.7,57.8,9.2,13.6,.528,16.9,30.9,.280
341,VMI,17,3,14,.176,-19.84,-3.49,,0,4,,3,3,,0,9,,1210,1351,,73.9,95.7,.248,.357,.524,51.7,43.0,6.6,7.0,.505,20.1,29.8,.160
342,Virginia Tech,16,10,6,.625,11.91,5.48,,2,3,,8,1,,0,3,,1186,1083,,68.2,108.7,.366,.416,.577,53.1,59.8,8.1,7.9,.534,15.8,28.1,.287
343,Wagner,15,8,7,.533,-11.42,-7.66,,2,1,,5,1,,3,6,,967,932,,63.9,100.0,.256,.402,.483,49.0,58.3,10.9,6.8,.454,12.4,29.7,.176
344,Wake Forest,17,12,5,.706,13.99,3.52,,4,2,,10,0,,1,3,,1370,1192,,69.9,113.6,.332,.377,.588,51.2,44.1,8.9,11.5,.548,14.5,27.9,.265
345,Washington,17,10,7,.588,12.72,7.25,,2,4,,8,2,,1,3,,1368,1275,,72.0,109.4,.359,.349,.560,51.1,52.4,7.3,11.3,.527,14.8,30.4,.256
346,Washington State,17,12,5,.706,12.90,4.20,,3,3,,9,1,,1,2,,1270,1122,,67.7,110.4,.341,.321,.555,54.2,47.3,8.2,14.5,.526,13.9,31.6,.238
347,Weber State,17,11,6,.647,4.11,-1.11,,2,2,,7,0,,3,4,,1288,1068,,66.4,113.3,.348,.409,.578,51.6,50.2,9.4,4.5,.541,13.0,24.7,.266
348,West Virginia,16,6,10,.375,3.37,7.18,,1,2,,6,5,,0,1,,1086,1147,,67.7,99.5,.383,.365,.508,49.4,54.0,6.3,9.6,.461,15.0,28.3,.279
349,Western Carolina,18,15,3,.833,1.75,-3.12,,4,1,,7,1,,8,2,,1368,1188,,69.0,110.1,.277,.372,.553,54.2,41.1,6.3,8.4,.531,13.3,30.0,.191
350,Western Illinois,18,12,6,.667,-7.39,-4.24,,5,0,,7,1,,5,5,,1285,1184,,68.0,103.5,.366,.309,.512,57.2,51.4,7.6,15.3,.490,16.7,39.5,.223
351,Western Kentucky,17,13,4,.765,-0.22,-2.57,,2,1,,8,0,,4,2,,1349,1246,,76.8,103.4,.329,.324,.532,51.9,44.4,10.1,8.0,.503,15.5,30.3,.225
352,Western Michigan,17,7,10,.412,-6.70,-1.20,,4,1,,3,4,,2,6,,1264,1296,,68.7,106.7,.332,.380,.541,52.0,52.0,7.6,6.3,.523,16.1,34.1,.206
353,Wichita State,16,8,8,.500,2.20,4.13,,0,3,,6,2,,1,3,,1188,1187,,71.7,103.6,.274,.324,.518,53.6,42.5,8.5,13.1,.493,14.9,33.2,.185
354,William & Mary,17,7,10,.412,-11.12,-5.99,,2,2,,6,2,,1,6,,1260,1233,,67.9,108.3,.368,.483,.555,50.8,52.5,6.6,3.8,.518,14.0,26.7,.267
355,Winthrop,19,13,6,.684,0.43,-2.32,,4,0,,9,1,,4,5,,1507,1317,,68.3,112.5,.501,.397,.571,52.3,47.3,9.6,8.0,.530,15.9,33.9,.356
356,Wisconsin,17,13,4,.765,18.34,9.34,,5,1,,9,1,,2,3,,1286,1133,,66.1,114.5,.368,.337,.572,54.5,47.0,9.1,4.9,.531,13.1,31.8,.283
357,Wofford,17,10,7,.588,-3.38,-0.95,,3,1,,6,0,,4,4,,1340,1286,,70.2,109.8,.278,.435,.554,53.8,54.5,5.4,7.6,.541,14.0,29.4,.173
358,Wright State,18,9,9,.500,0.35,-1.09,,4,3,,5,2,,2,6,,1529,1440,,72.6,117.0,.287,.276,.609,51.7,49.1,8.3,7.9,.586,14.2,28.2,.214
359,Wyoming,17,9,8,.529,-2.70,2.83,,2,2,,6,1,,0,6,,1235,1249,,69.7,104.2,.420,.340,.563,51.0,48.2,7.9,8.3,.517,18.8,31.4,.316
360,Xavier,17,9,8,.529,15.82,9.76,,3,3,,7,4,,1,3,,1289,1186,,71.1,106.7,.321,.320,.533,52.6,62.3,9.6,9.9,.497,14.6,33.7,.235
361,Yale,17,11,6,.647,2.58,0.38,,2,0,,4,1,,5,4,,1296,1155,,67.3,110.8,.264,.339,.548,53.4,51.5,8.8,10.5,.520,12.7,30.8,.193
362,Youngstown State,18,13,5,.722,0.32,-2.25,,5,2,,10,1,,3,4,,1466,1271,,71.9,113.3,.261,.424,.557,53.9,56.0,8.9,12.5,.529,13.1,33.1,.196
