Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
338,Villanova,14,10,4,.714,15.61,6.18,,3,0,,5,1,,2,2,,1023,891,,575,316,792,.399,111,333,.333,148,214,.692,122,477,168,84,59,169,231
339,Virginia,14,11,3,.786,11.91,1.27,,2,1,,9,0,,0,2,,932,783,,560,279,735,.380,85,290,.293,138,197,.701,152,487,151,79,30,197,200
340,Virginia Commonwealth,14,8,6,.571,9.12,2.97,,0,1,,7,4,,0,0,,1037,951,,565,325,808,.402,88,281,.313,213,299,.712,150,458,147,108,23,151,253
341,VMI,14,3,11,.214,-14.69,-3.69,,0,1,,3,2,,0,7,,989,1022,,565,365,875,.417,107,352,.304,185,285,.649,149,496,168,114,35,156,203
342,Virginia Tech,13,9,4,.692,10.59,3.28,,1,1,,7,0,,0,2,,954,859,,520,311,733,.424,85,265,.321,152,214,.710,113,404,144,80,40,165,229
343,Wagner,12,6,6,.500,-12.34,-5.14,,,,,3,1,,3,5,,765,753,,485,273,645,.423,76,266,.286,131,198,.662,116,453,170,55,42,155,163
344,Wake Forest,13,10,3,.769,13.68,0.83,,2,0,,8,0,,1,1,,1060,893,,525,327,778,.420,85,263,.323,154,214,.720,138,441,131,69,46,167,233
345,Washington,13,8,5,.615,15.01,8.47,,0,2,,6,1,,1,2,,1072,987,,535,351,828,.424,91,292,.312,194,295,.658,164,491,176,80,37,166,259
346,Washington State,13,9,4,.692,11.78,1.40,,0,2,,7,0,,0,2,,976,841,,520,282,723,.390,71,240,.296,206,268,.769,111,411,124,66,36,148,232
347,Weber State,14,10,4,.714,7.23,0.60,,2,0,,7,0,,2,2,,1070,850,,565,324,766,.423,90,283,.318,112,179,.626,99,446,171,68,42,182,253
348,West Virginia,13,5,8,.385,4.77,6.01,,,,,5,4,,0,0,,888,904,,525,335,822,.408,111,338,.328,123,179,.687,148,487,170,80,47,125,241
349,Western Carolina,14,12,2,.857,0.51,-3.76,,1,0,,6,0,,6,2,,1083,929,,560,335,844,.397,75,235,.319,184,270,.681,140,474,112,73,40,141,230
350,Western Illinois,14,8,6,.571,-8.65,-1.25,,1,0,,5,1,,3,5,,1013,942,,570,352,882,.399,89,304,.293,149,219,.680,146,488,168,109,42,153,230
351,Western Kentucky,14,11,3,.786,-1.32,-3.50,,,,,6,0,,4,1,,1125,1031,,561,366,892,.410,96,343,.280,203,284,.715,153,541,182,89,55,211,250
352,Western Michigan,13,4,9,.308,-8.19,-0.78,,1,0,,1,4,,1,5,,940,973,,525,352,782,.450,116,324,.358,153,228,.671,145,454,198,88,37,152,235
353,Wichita State,13,8,5,.615,4.75,3.42,,,,,6,0,,1,2,,979,933,,520,337,848,.397,105,356,.295,154,206,.748,136,469,186,97,52,128,209
354,William & Mary,13,5,8,.385,-11.68,-5.32,,,,,5,0,,0,6,,996,962,,525,333,767,.434,107,310,.345,189,252,.750,119,442,147,78,40,134,247
355,Winthrop,16,10,6,.625,0.92,-1.24,,1,0,,8,1,,2,5,,1252,1078,,645,373,932,.400,115,404,.285,217,284,.764,176,539,196,118,74,218,345
356,Wisconsin,13,10,3,.769,17.85,8.46,,2,0,,7,1,,1,2,,973,851,,520,305,686,.445,87,253,.344,154,223,.691,93,377,135,57,46,164,255
357,Wofford,14,8,6,.571,-2.53,0.38,,1,0,,5,0,,3,3,,1128,1072,,575,368,857,.429,120,351,.342,216,287,.753,108,467,182,102,46,137,255
