Rk,School,W-L%,SRS,SOS,FG%,3PA,3P%,FT%,PPG,Big10,Big12,ACC,SEC,BigEast,BlueBlood,Championships,Conf_W-L%,Home_W-L%,Away_W-L%,3P-G,3PA-G,FG-G,FGA-G,FT-G,FTA-G,ORB-G,TRB-G,AST-G,STL-G,BLK-G,TOV-G,PF-G
90,Florida Gulf Coast,0.368,-8.59,-1.53,-0.01,-49,-0.0189999999999999,-0.0189999999999999,-4,0,0,0,0,0,0,0,0.25,0.7142857142857143,0.125,-1.368421052631579,-2.5789473684210527,-1.263157894736842,-1.5263157894736843,0.3157894736842105,0.9473684210526315,1.0,1.5263157894736843,-1.8421052631578947,-1.2105263157894737,0.9473684210526315,1.631578947368421,-1.4210526315789473
91,Florida International,0.389,-6.27,-2.09,-0.0199999999999999,56,-0.0209999999999999,-0.0349999999999999,1,0,0,0,0,0,0,0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6111111111111112,3.111111111111111,1.6666666666666667,6.166666666666667,-2.8333333333333335,-3.111111111111111,-0.2222222222222222,-4.388888888888889,0.8888888888888888,3.888888888888889,-0.6111111111111112,-3.9444444444444446,1.8888888888888888
92,Florida State,0.625,9.78,6.21,0.005,-48,-0.005,0.0369999999999999,3,0,0,1,0,0,0,0,0.8,0.7,0.3333333333333333,-1.125,-3.0,2.125,4.1875,0.4375,-0.625,-0.3125,-1.1875,1.4375,3.375,1.5625,-3.4375,0.25
93,Fordham,0.5,-0.06,-2.12,-0.013,138,-0.0169999999999999,-0.0769999999999999,2,0,0,0,0,0,0,0,0.6666666666666666,0.4444444444444444,0.6666666666666666,2.5625,8.625,0.875,3.9375,-2.25,-0.5,3.3125,1.5,2.3125,0.875,1.1875,-1.125,0.6875
94,Fresno State,0.471,-3.9,-0.09,0.0259999999999999,-38,-0.0419999999999999,-0.017,-3,0,0,0,0,0,0,0,0.25,0.6666666666666666,0.2,-1.6470588235294117,-2.235294117647059,-1.2352941176470589,-5.9411764705882355,1.1764705882352942,2.235294117647059,-2.0588235294117645,-0.23529411764705882,0.35294117647058826,-0.6470588235294118,-0.6470588235294118,2.823529411764706,-1.6470588235294117
95,Furman,0.471,-0.97,-1.18,-0.013,138,-0.038,0.0419999999999999,3,0,0,0,0,0,0,0,0.5,0.875,0.14285714285714285,1.6470588235294117,8.117647058823529,-1.0588235294117647,-0.4117647058823529,3.764705882352941,4.235294117647059,2.411764705882353,3.764705882352941,2.3529411764705883,-0.5882352941176471,-0.35294117647058826,1.0588235294117647,-1.2941176470588236
96,Gardner-Webb,0.333,-5.54,1.13,-0.017,40,-0.012,-0.0579999999999999,0,0,0,0,0,0,0,0,0.3333333333333333,0.7142857142857143,0.0,0.4444444444444444,2.2222222222222223,1.2222222222222223,5.222222222222222,-2.888888888888889,-2.388888888888889,2.6666666666666665,1.2222222222222223,0.6111111111111112,0.8333333333333334,-1.4444444444444444,-1.1111111111111112,2.5555555555555554
97,George Mason,0.722,6.2,0.08,0.073,-63,0.005,0.023,7,0,0,0,0,0,0,0,0.4,0.9,0.5,-1.1111111111111112,-3.5,3.0555555555555554,-2.5,2.111111111111111,2.2777777777777777,0.5,5.611111111111111,0.4444444444444444,-1.3333333333333333,0.1111111111111111,1.2777777777777777,-1.2222222222222223
98,George Washington,0.824,2.99,-4.07,0.0759999999999999,-69,0.076,0.017,7,0,0,0,0,0,0,0,0.75,0.9166666666666666,0.5,0.5294117647058824,-4.0588235294117645,0.11764705882352941,-11.294117647058824,6.764705882352941,8.823529411764707,-4.764705882352941,0.8235294117647058,0.11764705882352941,-1.1176470588235294,2.2941176470588234,2.6470588235294117,-3.8823529411764706
99,Georgetown,0.471,1.47,2.24,-0.036,50,0.0249999999999999,0.018,-1,0,0,0,0,1,0,1,0.16666666666666666,0.5833333333333334,0.2,1.5294117647058822,2.9411764705882355,-2.9411764705882355,-2.0,3.588235294117647,4.588235294117647,1.1764705882352942,1.0588235294117647,-1.4705882352941178,-1.5294117647058822,0.5294117647058824,1.0588235294117647,-1.2352941176470589
100,Georgia,0.765,9.63,4.1,0.0219999999999999,-1,0.06,0.008,5,0,0,0,1,0,0,0,0.75,0.9090909090909091,1.0,1.411764705882353,-0.058823529411764705,-0.35294117647058826,-4.0588235294117645,4.823529411764706,6.529411764705882,-1.8235294117647058,-0.9411764705882353,-0.5294117647058824,0.7058823529411765,-0.7647058823529411,-0.8235294117647058,-2.764705882352941
101,Georgia Southern,0.118,-14.1,-2.75,-0.053,80,-0.022,-0.003,-12,0,0,0,0,0,0,0,0.4,0.3333333333333333,0.09090909090909091,1.1176470588235294,4.705882352941177,-3.0588235294117645,0.17647058823529413,-6.352941176470588,-8.882352941176471,-2.6470588235294117,-7.0,-5.117647058823529,-0.8235294117647058,-0.17647058823529413,1.5294117647058822,5.117647058823529
102,Georgia State,0.563,-2.75,-2.89,0.019,20,0.04,0.055,6,0,0,0,0,0,0,0,0.8,0.8571428571428571,0.3333333333333333,1.3125,1.25,3.125,4.375,-0.625,-2.375,2.0625,4.125,0.375,0.4375,-1.0,-0.9375,1.25
103,Georgia Tech,0.529,5.11,6.35,0.011,10,0.012,-0.0449999999999999,-2,0,0,1,0,0,0,0,0.3333333333333333,0.625,0.3333333333333333,0.47058823529411764,0.5882352941176471,0.35294117647058826,-0.8823529411764706,-2.411764705882353,-2.176470588235294,1.1176470588235294,3.411764705882353,1.9411764705882353,-2.176470588235294,0.9411764705882353,3.0,-0.17647058823529413
104,Gonzaga,0.688,14.8,2.6,0.1029999999999999,-51,0.003,-0.015,15,0,0,0,0,0,0,0,0.6666666666666666,0.8888888888888888,0.0,-0.9375,-3.1875,7.125,1.375,2.25,3.5625,1.875,8.6875,4.1875,1.3125,0.5625,-0.9375,-1.375
105,Grambling,0.353,-13.51,0.71,-0.028,-67,-0.1,-0.009,-8,0,0,0,0,0,0,0,0.75,0.8,0.2,-3.0588235294117645,-3.9411764705882355,-2.0,-0.8823529411764706,-0.7058823529411765,-0.7647058823529411,-0.4117647058823529,-2.0,-6.647058823529412,0.23529411764705882,-0.29411764705882354,0.8823529411764706,1.411764705882353
106,Grand Canyon,0.941,10.2,-2.62,0.077,20,0.022,0.041,15,0,0,0,0,0,0,0,1.0,1.0,1.0,0.8235294117647058,1.1764705882352942,4.352941176470588,-0.35294117647058826,5.470588235294118,6.352941176470588,1.7058823529411764,8.0,1.3529411764705883,1.2941176470588236,3.4705882352941178,-1.2941176470588236,-2.235294117647059
107,Green Bay,0.579,-3.69,-2.4,0.042,107,0.0419999999999999,0.01,1,0,0,0,0,0,0,0,0.75,0.875,0.4,2.789473684210526,5.631578947368421,1.0,-2.8421052631578947,-3.3684210526315788,-4.947368421052632,-1.263157894736842,1.631578947368421,0.6842105263157895,-1.7894736842105263,-1.8421052631578947,3.6842105263157894,2.263157894736842
108,Hampton,0.235,-18.89,-5.46,0.008,-27,0.014,-0.049,-2,0,0,0,0,0,0,0,0.0,0.375,0.0,-0.17647058823529413,-1.588235294117647,0.47058823529411764,-0.058823529411764705,-2.1176470588235294,-1.5294117647058822,1.3529411764705883,2.4705882352941178,1.3529411764705883,-0.8823529411764706,0.6470588235294118,1.9411764705882353,1.0588235294117647
