Rk,School,G,W,L,W-L%,SRS,SOS,Unnamed: 8,W.1,L.1,Unnamed: 11,W.2,L.2,Unnamed: 14,W.3,L.3,Unnamed: 17,Tm.,Opp.,Unnamed: 20,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
68,Delaware,13,8,5,.615,0.96,-2.63,,,,,2,2,,4,1,,1004,928,,69.2,102.2,.299,.370,.528,49.6,45.8,8.1,10.6,.498,14.9,27.6,.209
69,Delaware State,16,7,9,.438,-11.67,-3.67,,,,,3,2,,2,6,,1162,1194,,72.2,100.3,.345,.411,.561,46.5,54.2,9.8,5.6,.532,18.8,24.9,.242
70,Denver,16,10,6,.625,0.33,-1.34,,1,1,,6,1,,3,4,,1361,1246,,71.6,107.0,.286,.334,.525,48.6,45.0,7.3,12.5,.498,12.1,30.0,.197
71,DePaul,13,3,10,.231,-3.69,6.39,,0,2,,3,6,,0,2,,859,990,,68.6,111.0,.302,.350,.551,53.9,54.1,10.1,9.7,.524,13.8,32.5,.214
72,Detroit Mercy,15,0,15,.000,-18.04,-0.64,,0,4,,0,3,,0,12,,909,1170,,67.9,114.8,.314,.368,.580,53.4,57.3,10.6,8.7,.550,13.8,32.4,.232
73,Drake,14,12,2,.857,9.17,-2.37,,3,0,,8,0,,1,1,,1111,941,,68.5,97.3,.297,.374,.529,48.1,39.0,7.9,6.9,.505,18.1,25.2,.196
74,Drexel,14,8,6,.571,1.57,-2.74,,1,0,,5,1,,2,5,,1016,892,,66.8,94.5,.257,.350,.484,43.3,50.2,9.1,6.8,.450,13.8,24.6,.185
75,Duke,13,10,3,.769,21.10,4.18,,1,1,,8,1,,0,2,,1086,866,,69.6,95.8,.281,.372,.521,46.8,54.4,6.5,12.1,.491,17.4,23.8,.198
76,Duquesne,13,9,4,.692,6.45,2.37,,0,1,,6,1,,1,2,,994,897,,69.1,99.9,.347,.359,.520,47.9,50.0,8.1,10.7,.484,17.3,30.0,.243
77,East Carolina,14,7,7,.500,-1.14,-1.83,,0,1,,7,4,,0,2,,1028,989,,67.0,105.5,.332,.426,.543,48.4,51.7,8.9,8.4,.510,16.8,32.4,.238
78,East Tennessee State,14,9,5,.643,-2.67,-1.92,,1,0,,6,0,,2,5,,1019,949,,70.3,96.3,.396,.362,.494,48.9,45.3,9.2,9.7,.451,16.7,31.2,.272
79,Eastern Illinois,14,6,8,.429,-11.51,-1.01,,0,1,,5,1,,0,7,,979,909,,68.5,94.8,.337,.399,.530,46.1,61.1,9.5,9.3,.492,19.2,22.6,.246
80,Eastern Kentucky,13,4,9,.308,-10.85,1.95,,,,,4,3,,0,6,,1069,1038,,75.9,104.2,.275,.382,.537,47.5,53.1,10.8,5.6,.515,15.9,30.6,.185
81,Eastern Michigan,13,7,6,.538,-11.10,-2.91,,0,1,,5,1,,2,4,,897,969,,67.4,109.6,.313,.392,.539,50.6,49.1,10.2,6.7,.511,12.7,29.9,.215
82,Eastern Washington,14,7,7,.500,0.46,3.79,,2,0,,4,0,,3,7,,1095,1015,,71.7,101.2,.359,.364,.531,49.7,50.6,9.2,10.2,.491,16.4,28.1,.261
83,Elon,13,7,6,.538,-9.89,-4.80,,,,,5,0,,0,6,,1047,998,,70.6,108.7,.289,.386,.545,48.6,46.8,8.6,8.7,.517,14.0,31.5,.206
84,Evansville,14,10,4,.714,1.99,-1.25,,1,2,,6,0,,3,4,,1121,1009,,72.7,97.4,.259,.436,.517,48.8,51.9,7.5,7.4,.490,16.5,24.8,.182
85,Fairfield,13,7,6,.538,-5.94,-5.27,,1,1,,3,2,,4,3,,962,923,,70.6,100.7,.255,.348,.518,51.2,50.7,10.1,8.9,.491,17.2,32.5,.180
86,Fairleigh Dickinson,14,6,8,.429,-15.56,-4.89,,,,,3,2,,3,5,,1131,1157,,75.8,109.0,.330,.410,.558,52.7,56.9,9.2,8.1,.526,15.8,32.5,.240
87,Florida,13,10,3,.769,15.16,2.55,,,,,6,0,,0,1,,1122,958,,73.6,98.2,.317,.323,.497,43.0,43.4,11.7,7.3,.465,14.0,27.8,.215
